,Region,Category,Subcategory,VF or Non-VF,Direct Beneficiaries,Energy Access,Productive Use,Budget Sum (M USD),Project Count,Country Count
281,RBA,Beneficiary Tier,Policy and Regulator Frameworks,VF,0.0,0.0,0.0,104620697.0,11,10
282,RBA,Beneficiary Tier,Other,VF,0.0,0.0,0.0,3872600.0,3,2
283,RBA,Beneficiary Category,Agriculture and Food System,VF,4936.0,0.0,4936.0,1363947.0,1,1
284,RBA,Beneficiary Category,GHG Emissions Reduction,VF,0.0,0.0,0.0,90984703.0,8,6
285,RBA,Beneficiary Category,Energy (MW added),VF,474740.0,474740.0,0.0,31186909.0,13,11
286,RBA,Beneficiary Category,Electricity Access,VF,4142048.0000000005,4142048.0000000005,0.0,107367559.0,19,15
287,RBA,Beneficiary Category,nan,VF,0.0,0.0,0.0,5670668.0,3,3
288,RBA,Beneficiary Category,Energy Efficiency Services,VF,0.0,0.0,0.0,78137680.0,2,2
289,RBA,Beneficiary Category,Policy or Regulatory Framework,VF,0.0,0.0,0.0,104620697.0,11,10
290,RBA,Beneficiary Category,Water Services,VF,35529.0,0.0,35529.0,20345141.0,1,1
291,RBA,Beneficiary Category,Capacity Building Training,VF,0.0,0.0,0.0,90972610.0,8,5
292,RBA,Beneficiary Category,Other,VF,0.0,0.0,0.0,3872600.0,3,2
293,RBA,Beneficiary Category,Small Enterprises,VF,0.0,0.0,0.0,74962246.0,3,3
294,RBA,Beneficiary Category,Market Intervention,VF,0.0,0.0,0.0,73137680.0,1,1
295,RBA,Beneficiary Category,Financing support,VF,0.0,0.0,0.0,-1.0,1,1
296,RBA,Beneficiary Category,Entrepreneurship Training,VF,0.0,0.0,0.0,-1.0,1,1
297,RBA,Beneficiary Category,Health Services,VF,180085.0,0.0,180085.0,26824566.0,3,3
298,RBA,Beneficiary Category,Clean Cooking,VF,122025.0,122025.0,0.0,29307969.0,6,5
299,RBA,Beneficiary Category,Education Services,VF,27500.0,0.0,27500.0,924566.0,1,1
300,RBA,Beneficiary Category,Other Energy Services,VF,490.0,0.0,490.0,924566.0,1,1
301,RBA,All,All,Non-VF,32092457.47,17661855.47,14430602.0,1220226566.4629188,90,38
302,RBA,Economy,Low income,Non-VF,28471863.75,15522075.75,12949788.0,710676783.3399999,45,21
303,RBA,Economy,Upper middle income,Non-VF,796157.52,775157.52,21000.0,43185093.0,8,4
304,RBA,Economy,Lower middle income,Non-VF,2824436.2,1364622.2,1459814.0,466364690.12291884,37,13
305,RBA,HDI,Low,Non-VF,27884396.45,15588829.45,12295567.0,730111265.6129187,59,24
306,RBA,HDI,Medium,Non-VF,3428863.5,1314828.5,2114035.0,450499196.85,26,12
307,RBA,HDI,High,Non-VF,275.52,275.52,0.0,1273333.0,2,1
308,RBA,HDI,Very High,Non-VF,778922.0,757922.0,21000.0,38342771.0,3,1
309,RBA,Beneficiary Tier,Access to Energy,Non-VF,17661855.47,17661855.47,0.0,1128819171.3400002,51,31
310,RBA,Beneficiary Tier,Productive Use of Energy,Non-VF,14430602.0,0.0,14430602.0,712743180.6829188,40,22
311,RBA,Beneficiary Tier,Market Development,Non-VF,0.0,0.0,0.0,19512032.0,9,8
312,RBA,Beneficiary Tier,Capacity Building,Non-VF,0.0,0.0,0.0,29384121.0,8,7
313,RBA,Beneficiary Tier,Policy and Regulator Frameworks,Non-VF,0.0,0.0,0.0,108229497.0,18,12
314,RBA,Beneficiary Tier,Other,Non-VF,0.0,0.0,0.0,136000.0,1,1
315,RBA,Beneficiary Category,Electricity Access,Non-VF,14214451.02,14214451.02,0.0,1055582158.35,38,26
316,RBA,Beneficiary Category,nan,Non-VF,0.0,0.0,0.0,392763342.0,15,12
317,RBA,Beneficiary Category,Medium Enterprises,Non-VF,0.0,0.0,0.0,8249716.0,3,3
318,RBA,Beneficiary Category,Health Services,Non-VF,8895536.0,0.0,8895536.0,670745895.3141885,15,14
319,RBA,Beneficiary Category,Energy (MW added),Non-VF,1280347.25,1280347.25,0.0,100327397.99,18,14
320,RBA,Beneficiary Category,Education Services,Non-VF,130628.0,0.0,130628.0,634907108.078534,10,9
321,RBA,Beneficiary Category,Policy or Regulatory Framework,Non-VF,0.0,0.0,0.0,108229497.0,18,12
322,RBA,Beneficiary Category,Capacity Building Training,Non-VF,0.0,0.0,0.0,377356709.0,12,9
323,RBA,Beneficiary Category,Small Enterprises,Non-VF,0.0,0.0,0.0,15794480.0,7,7
324,RBA,Beneficiary Category,Energy Infrastructure Services,Non-VF,173964.0,0.0,173964.0,4146506.614751309,10,4
325,RBA,Beneficiary Category,Clean Cooking,Non-VF,2167057.2,2167057.2,0.0,47608054.0,11,9
326,RBA,Beneficiary Category,Energy Efficiency Services,Non-VF,0.0,0.0,0.0,3838747.0,3,3
327,RBA,Beneficiary Category,Other,Non-VF,0.0,0.0,0.0,136000.0,1,1
328,RBA,Beneficiary Category,Entrepreneurship Training,Non-VF,0.0,0.0,0.0,10663815.0,4,4
329,RBA,Beneficiary Category,Agriculture and Food System,Non-VF,16600.0,0.0,16600.0,29484981.71,7,6
330,RBA,Beneficiary Category,Other Energy Services,Non-VF,184220.0,0.0,184220.0,10161288.05,5,4
331,RBA,Beneficiary Category,Water Services,Non-VF,5008573.0,0.0,5008573.0,626876305.8534031,5,4
332,RBA,Beneficiary Category,Campaign Participant,Non-VF,0.0,0.0,0.0,18720306.0,4,3
333,RBA,Beneficiary Category,Transportation and E-mobility Services,Non-VF,21081.0,0.0,21081.0,5869929.85,3,3
334,RBA,Beneficiary Category,Financing support,Non-VF,0.0,0.0,0.0,100000.0,1,1
335,RBA,Beneficiary Category,Energy infrastructure services,Non-VF,0.0,0.0,0.0,116275.0,1,1
336,RBA,Beneficiary Category,GHG Emissions Reduction,Non-VF,0.0,0.0,0.0,54700000.0,3,3
337,RBA,Beneficiary Category,Energy Storage (MW),Non-VF,0.0,0.0,0.0,28210000.0,1,1
338,RBA,Beneficiary Category,Energy Access - disaster affected communities -,Non-VF,0.0,0.0,0.0,-1.0,1,1
339,RBA,Beneficiary Category,Energy Access,Non-VF,0.0,0.0,0.0,-1.0,1,1
340,RBA,Beneficiary Category,"Artisanal Palm Oil Producers
General Public
Electric Vehicle Businesses",Non-VF,0.0,0.0,0.0,500000.0,1,1
341,RBAS,All,All,Total,11942282.990000002,8595603.79,3346679.2,241000631.0,47,16
342,RBAS,Economy,Lower middle income,Total,3865829.15,968274.95,2897554.2,133335063.0,27,8
343,RBAS,Economy,Upper middle income,Total,4875265.0,4703627.0,171638.0,29879147.0,10,3
344,RBAS,Economy,High income,Total,0.0,0.0,0.0,15193940.0,2,2
345,RBAS,Economy,Low income,Total,3201188.84,2923701.84,277487.0,62592481.0,8,3
346,RBAS,HDI,High,Total,2474371.35,887468.75,1586902.6,92120246.0,21,7
347,RBAS,HDI,Low,Total,742906.8,225280.2,517626.6,47652346.0,12,3
348,RBAS,HDI,Very High,Total,0.0,0.0,0.0,15193940.0,2,2
349,RBAS,HDI,Medium,Total,8263639.0,7021489.0,1242150.0,74105356.0,10,3
350,RBAS,Beneficiary Tier,Access to Energy,Total,8595603.79,8595603.79,0.0,134221096.0,24,9
351,RBAS,Beneficiary Tier,Productive Use of Energy,Total,3346679.2,0.0,3346679.2,151462807.0,20,9
352,RBAS,Beneficiary Tier,Market Development,Total,0.0,0.0,0.0,28511743.0,2,2
353,RBAS,Beneficiary Tier,Capacity Building,Total,0.0,0.0,0.0,61215256.0,7,5
354,RBAS,Beneficiary Tier,Policy and Regulator Frameworks,Total,0.0,0.0,0.0,50809984.0,9,6
355,RBAS,Beneficiary Tier,Other,Total,0.0,0.0,0.0,0.0,0,0
356,RBAS,Beneficiary Category,Entrepreneurship Training,Total,0.0,0.0,0.0,54878440.0,4,3
357,RBAS,Beneficiary Category,Transportation and E-mobility Services,Total,1417000.0,0.0,1417000.0,3552968.0,1,1
358,RBAS,Beneficiary Category,Health Services,Total,473592.0,0.0,473592.0,62957889.0,5,3
359,RBAS,Beneficiary Category,Education Services,Total,53482.6,0.0,53482.6,64848725.0,6,4
360,RBAS,Beneficiary Category,Energy (MW added),Total,3023392.75,3023392.75,0.0,78754559.0,13,6
361,RBAS,Beneficiary Category,Policy or Regulatory Framework,Total,0.0,0.0,0.0,50809984.0,9,6
362,RBAS,Beneficiary Category,Electricity Access,Total,5479811.04,5479811.04,0.0,111004540.0,17,7
363,RBAS,Beneficiary Category,Agriculture and Food System,Total,18942.6,0.0,18942.6,71695197.0,3,3
364,RBAS,Beneficiary Category,Small Enterprises,Total,0.0,0.0,0.0,28511743.0,2,2
365,RBAS,Beneficiary Category,Water Services,Total,51003.0,0.0,51003.0,83934706.0,10,7
366,RBAS,Beneficiary Category,Capacity Building Training,Total,0.0,0.0,0.0,67854559.0,7,4
367,RBAS,Beneficiary Category,GHG Emissions Reduction,Total,0.0,0.0,0.0,8803356.0,3,3
368,RBAS,Beneficiary Category,Energy Efficiency Services,Total,0.0,0.0,0.0,15441234.0,4,4
369,RBAS,Beneficiary Category,nan,Total,0.0,0.0,0.0,48505719.0,7,5
370,RBAS,Beneficiary Category,Other Energy Services,Total,158801.0,0.0,158801.0,17699703.0,4,2
371,RBAS,Beneficiary Category,Energy Infrastructure Services,Total,1173858.0,0.0,1173858.0,51814927.0,3,3
372,RBAS,Beneficiary Category,Energy access,Total,0.0,0.0,0.0,200000.0,1,1
373,RBAS,Beneficiary Category,water services,Total,0.0,0.0,0.0,200000.0,1,1
374,RBAS,Beneficiary Category,Capacity Training,Total,0.0,0.0,0.0,36250760.0,1,1
375,RBAS,Beneficiary Category,Campaign Participant,Total,0.0,0.0,0.0,6336816.0,3,2
376,RBAS,Beneficiary Category,Clean Cooking,Total,92400.0,92400.0,0.0,8652596.0,1,1
377,RBAS,All,All,VF,3126143.0,607318.0,2518825.0,50424131.0,16,10
378,RBAS,Economy,Lower middle income,VF,2759671.0,396646.0,2363025.0,36332108.0,10,6
379,RBAS,Economy,Upper middle income,VF,155800.0,0.0,155800.0,5732009.0,2,2
380,RBAS,Economy,Low income,VF,210672.0,210672.0,0.0,8360014.0,4,2
381,RBAS,HDI,High,VF,1937500.0,367500.0,1570000.0,21205142.0,6,5
382,RBAS,HDI,Medium,VF,948825.0,0.0,948825.0,15147902.0,3,2
383,RBAS,HDI,Low,VF,173148.0,173148.0,0.0,10794940.0,6,2
384,RBAS,Beneficiary Tier,Access to Energy,VF,607318.0,607318.0,0.0,26466355.0,9,5
385,RBAS,Beneficiary Tier,Productive Use of Energy,VF,2518825.0,0.0,2518825.0,21340870.0,5,4
386,RBAS,Beneficiary Tier,Market Development,VF,0.0,0.0,0.0,0.0,0,0
387,RBAS,Beneficiary Tier,Capacity Building,VF,0.0,0.0,0.0,0.0,0,0
388,RBAS,Beneficiary Tier,Policy and Regulator Frameworks,VF,0.0,0.0,0.0,3092009.0,1,1
389,RBAS,Beneficiary Tier,Other,VF,0.0,0.0,0.0,0.0,0,0
390,RBAS,Beneficiary Category,Transportation and E-mobility Services,VF,1417000.0,0.0,1417000.0,3552968.0,1,1
391,RBAS,Beneficiary Category,Energy (MW added),VF,367500.0,367500.0,0.0,14165268.0,3,2
392,RBAS,Beneficiary Category,GHG Emissions Reduction,VF,0.0,0.0,0.0,8803356.0,3,3
393,RBAS,Beneficiary Category,Energy Efficiency Services,VF,0.0,0.0,0.0,7502009.0,3,3
394,RBAS,Beneficiary Category,nan,VF,0.0,0.0,0.0,3486906.0,2,2
395,RBAS,Beneficiary Category,Other Energy Services,VF,155800.0,0.0,155800.0,5732009.0,2,2
396,RBAS,Beneficiary Category,Energy Infrastructure Services,VF,928850.0,0.0,928850.0,9416167.0,1,1
397,RBAS,Beneficiary Category,Water Services,VF,17175.0,0.0,17175.0,2639726.0,1,1
398,RBAS,Beneficiary Category,Electricity Access,VF,239818.0,239818.0,0.0,12301087.0,6,3
399,RBAS,Beneficiary Category,Policy or Regulatory Framework,VF,0.0,0.0,0.0,3092009.0,1,1
400,RBAS,All,All,Non-VF,8816139.99,7988285.79,827854.2,190576500.0,31,15
401,RBAS,Economy,Lower middle income,Non-VF,1106158.15,571628.95,534529.2,97002955.0,17,7
402,RBAS,Economy,Upper middle income,Non-VF,4719465.0,4703627.0,15838.0,24147138.0,8,3
403,RBAS,Economy,High income,Non-VF,0.0,0.0,0.0,15193940.0,2,2
404,RBAS,Economy,Low income,Non-VF,2990516.84,2713029.84,277487.0,54232467.0,4,3
405,RBAS,HDI,High,Non-VF,536871.35,519968.75,16902.6,70915104.0,15,7
406,RBAS,HDI,Low,Non-VF,569758.8,52132.2,517626.6,36857406.0,6,3
407,RBAS,HDI,Very High,Non-VF,0.0,0.0,0.0,15193940.0,2,2
408,RBAS,HDI,Medium,Non-VF,7314814.0,7021489.0,293325.0,58957454.0,7,2
409,RBAS,Beneficiary Tier,Access to Energy,Non-VF,7988285.79,7988285.79,0.0,107754741.0,15,7
410,RBAS,Beneficiary Tier,Productive Use of Energy,Non-VF,827854.2,0.0,827854.2,130121937.0,15,8
411,RBAS,Beneficiary Tier,Market Development,Non-VF,0.0,0.0,0.0,28511743.0,2,2
412,RBAS,Beneficiary Tier,Capacity Building,Non-VF,0.0,0.0,0.0,61215256.0,7,5
413,RBAS,Beneficiary Tier,Policy and Regulator Frameworks,Non-VF,0.0,0.0,0.0,47717975.0,8,5
414,RBAS,Beneficiary Tier,Other,Non-VF,0.0,0.0,0.0,0.0,0,0
415,RBAS,Beneficiary Category,Entrepreneurship Training,Non-VF,0.0,0.0,0.0,54878440.0,4,3
416,RBAS,Beneficiary Category,Health Services,Non-VF,473592.0,0.0,473592.0,62957889.0,5,3
417,RBAS,Beneficiary Category,Education Services,Non-VF,53482.6,0.0,53482.6,64848725.0,6,4
418,RBAS,Beneficiary Category,Policy or Regulatory Framework,Non-VF,0.0,0.0,0.0,47717975.0,8,5
419,RBAS,Beneficiary Category,Electricity Access,Non-VF,5239993.04,5239993.04,0.0,98703453.0,11,6
420,RBAS,Beneficiary Category,Agriculture and Food System,Non-VF,18942.6,0.0,18942.6,71695197.0,3,3
421,RBAS,Beneficiary Category,Small Enterprises,Non-VF,0.0,0.0,0.0,28511743.0,2,2
422,RBAS,Beneficiary Category,Water Services,Non-VF,33828.0,0.0,33828.0,81294980.0,9,6
423,RBAS,Beneficiary Category,Capacity Building Training,Non-VF,0.0,0.0,0.0,67854559.0,7,4
424,RBAS,Beneficiary Category,Energy (MW added),Non-VF,2655892.75,2655892.75,0.0,64589291.0,10,5
425,RBAS,Beneficiary Category,Other Energy Services,Non-VF,3001.0,0.0,3001.0,11967694.0,2,2
426,RBAS,Beneficiary Category,Energy Efficiency Services,Non-VF,0.0,0.0,0.0,7939225.0,1,1
427,RBAS,Beneficiary Category,Energy access,Non-VF,0.0,0.0,0.0,200000.0,1,1
428,RBAS,Beneficiary Category,water services,Non-VF,0.0,0.0,0.0,200000.0,1,1
429,RBAS,Beneficiary Category,nan,Non-VF,0.0,0.0,0.0,45018813.0,5,4
430,RBAS,Beneficiary Category,Energy Infrastructure Services,Non-VF,245008.0,0.0,245008.0,42398760.0,2,2
431,RBAS,Beneficiary Category,Capacity Training,Non-VF,0.0,0.0,0.0,36250760.0,1,1
432,RBAS,Beneficiary Category,Campaign Participant,Non-VF,0.0,0.0,0.0,6336816.0,3,2
433,RBAS,Beneficiary Category,Clean Cooking,Non-VF,92400.0,92400.0,0.0,8652596.0,1,1
434,RBEC,All,All,Total,12778850.81,10527337.75,2251513.06,507506594.13199997,74,19
435,RBEC,Economy,Upper middle income,Total,1562573.81,324525.75,1238048.06,378587186.57,65,14
436,RBEC,Economy,High income,Total,23065.0,23065.0,0.0,1600000.0,1,1
437,RBEC,Economy,Lower middle income,Total,11193212.0,10179747.0,1013465.0,127319407.562,8,4
438,RBEC,HDI,High,Total,12143418.0,10360189.0,1783229.0,439026688.38199997,40,9
439,RBEC,HDI,Very High,Total,587459.06,119903.0,467556.06,65517801.0,29,7
440,RBEC,HDI,Medium,Total,46992.0,46992.0,0.0,656272.75,2,2
441,RBEC,Beneficiary Tier,Access to Energy,Total,10527337.75,10527337.75,0.0,208978422.562,21,13
442,RBEC,Beneficiary Tier,Productive Use of Energy,Total,2251513.06,0.0,2251513.06,162070240.132,26,14
443,RBEC,Beneficiary Tier,Market Development,Total,0.0,0.0,0.0,81396972.75,13,7
444,RBEC,Beneficiary Tier,Capacity Building,Total,0.0,0.0,0.0,61667865.75,11,8
445,RBEC,Beneficiary Tier,Policy and Regulator Frameworks,Total,0.0,0.0,0.0,43482188.75,19,12
446,RBEC,Beneficiary Tier,Other,Total,0.0,0.0,0.0,110764532.0,4,4
447,RBEC,Beneficiary Category,Energy Efficiency Services,Total,0.0,0.0,0.0,159624198.0,18,8
448,RBEC,Beneficiary Category,Education Services,Total,6966.0,0.0,6966.0,90103519.57,6,3
449,RBEC,Beneficiary Category,nan,Total,0.0,0.0,0.0,68010485.0,11,7
450,RBEC,Beneficiary Category,Electricity Access,Total,8782373.0,8782373.0,0.0,134401266.75,10,8
451,RBEC,Beneficiary Category,Energy (MW added),Total,1744793.75,1744793.75,0.0,144247242.562,15,10
452,RBEC,Beneficiary Category,Policy or Regulatory Framework,Total,0.0,0.0,0.0,43482188.75,19,12
453,RBEC,Beneficiary Category,Transportation and E-mobility Services,Total,328499.0,0.0,328499.0,13981534.0,5,5
454,RBEC,Beneficiary Category,Campaign Participant,Total,0.0,0.0,0.0,59305202.75,10,7
455,RBEC,Beneficiary Category,Other Energy Services,Total,805846.0,0.0,805846.0,47587117.75,12,8
456,RBEC,Beneficiary Category,Capacity Building Training,Total,0.0,0.0,0.0,78754026.75,17,11
457,RBEC,Beneficiary Category,Medium Enterprises,Total,0.0,0.0,0.0,68391972.75,10,7
458,RBEC,Beneficiary Category,Other,Total,0.0,0.0,0.0,110764532.0,4,4
459,RBEC,Beneficiary Category,Health services,Total,0.0,0.0,0.0,64600000.0,1,1
460,RBEC,Beneficiary Category,Energy Infrastructure Services,Total,1107345.0,0.0,1107345.0,14525568.812,4,3
461,RBEC,Beneficiary Category,Small Enterprises,Total,0.0,0.0,0.0,13826580.0,4,3
462,RBEC,Beneficiary Category,Entrepreneurship Training,Total,0.0,0.0,0.0,3066715.0,2,2
463,RBEC,Beneficiary Category,GHG Emissions Reduction,Total,0.0,0.0,0.0,6103748.0,3,3
464,RBEC,Beneficiary Category,Financing support,Total,0.0,0.0,0.0,1220000.0,1,1
465,RBEC,Beneficiary Category,Market Intervention,Total,0.0,0.0,0.0,44891740.75,2,2
466,RBEC,Beneficiary Category,Water Services,Total,2857.06,0.0,2857.06,2450000.0,2,1
467,RBEC,Beneficiary Category,Clean Cooking,Total,171.0,171.0,0.0,926659.0,1,1
468,RBEC,All,All,VF,1039919.0,140229.0,899690.0,77296849.75,18,10
469,RBEC,Economy,Upper middle income,VF,979462.0,93237.0,886225.0,61755384.0,14,7
470,RBEC,Economy,Lower middle income,VF,60457.0,46992.0,13465.0,15541465.75,4,3
471,RBEC,HDI,High,VF,441291.0,0.0,441291.0,47413109.0,8,5
472,RBEC,HDI,Very High,VF,551636.0,93237.0,458399.0,29392000.0,9,4
473,RBEC,HDI,Medium,VF,46992.0,46992.0,0.0,491740.75,1,1
474,RBEC,Beneficiary Tier,Access to Energy,VF,140229.0,140229.0,0.0,10286740.75,4,4
475,RBEC,Beneficiary Tier,Productive Use of Energy,VF,899690.0,0.0,899690.0,20706465.75,7,6
476,RBEC,Beneficiary Tier,Market Development,VF,0.0,0.0,0.0,12251740.75,4,3
477,RBEC,Beneficiary Tier,Capacity Building,VF,0.0,0.0,0.0,10051786.75,3,3
478,RBEC,Beneficiary Tier,Policy and Regulator Frameworks,VF,0.0,0.0,0.0,1331740.75,2,2
479,RBEC,Beneficiary Tier,Other,VF,0.0,0.0,0.0,0.0,0,0
480,RBEC,Beneficiary Category,nan,VF,0.0,0.0,0.0,11303005.0,4,3
481,RBEC,Beneficiary Category,Other Energy Services,VF,574546.0,0.0,574546.0,11206740.75,5,5
482,RBEC,Beneficiary Category,Policy or Regulatory Framework,VF,0.0,0.0,0.0,1331740.75,2,2
483,RBEC,Beneficiary Category,Energy Efficiency Services,VF,0.0,0.0,0.0,27831000.0,4,4
484,RBEC,Beneficiary Category,Capacity Building Training,VF,0.0,0.0,0.0,27696073.75,6,5
485,RBEC,Beneficiary Category,Campaign Participant,VF,0.0,0.0,0.0,10051786.75,3,3
486,RBEC,Beneficiary Category,GHG Emissions Reduction,VF,0.0,0.0,0.0,5305000.0,2,2
487,RBEC,Beneficiary Category,Electricity Access,VF,65854.0,65854.0,0.0,8781740.75,3,3
488,RBEC,Beneficiary Category,Medium Enterprises,VF,0.0,0.0,0.0,7741740.75,3,3
489,RBEC,Beneficiary Category,Transportation and E-mobility Services,VF,317799.0,0.0,317799.0,9499725.0,2,2
490,RBEC,Beneficiary Category,Energy Infrastructure Services,VF,7345.0,0.0,7345.0,6000000.0,1,1
491,RBEC,Beneficiary Category,Energy (MW added),VF,74375.0,74375.0,0.0,6506740.75,3,3
492,RBEC,Beneficiary Category,Market Intervention,VF,0.0,0.0,0.0,491740.75,1,1
493,RBEC,Beneficiary Category,Small Enterprises,VF,0.0,0.0,0.0,4510000.0,1,1
494,RBEC,All,All,Non-VF,11738931.81,10387108.75,1351823.06,430209744.38199997,56,15
495,RBEC,Economy,Upper middle income,Non-VF,583111.81,231288.75,351823.06,316831802.57,51,12
496,RBEC,Economy,High income,Non-VF,23065.0,23065.0,0.0,1600000.0,1,1
497,RBEC,Economy,Lower middle income,Non-VF,11132755.0,10132755.0,1000000.0,111777941.812,4,2
498,RBEC,HDI,High,Non-VF,11702127.0,10360189.0,1341938.0,391613579.38199997,32,7
499,RBEC,HDI,Very High,Non-VF,35823.06,26666.0,9157.06,36125801.0,20,6
500,RBEC,HDI,Medium,Non-VF,0.0,0.0,0.0,164532.0,1,1
501,RBEC,Beneficiary Tier,Access to Energy,Non-VF,10387108.75,10387108.75,0.0,198691681.812,17,10
502,RBEC,Beneficiary Tier,Productive Use of Energy,Non-VF,1351823.06,0.0,1351823.06,141363774.382,19,9
503,RBEC,Beneficiary Tier,Market Development,Non-VF,0.0,0.0,0.0,69145232.0,9,6
504,RBEC,Beneficiary Tier,Capacity Building,Non-VF,0.0,0.0,0.0,51616079.0,8,5
505,RBEC,Beneficiary Tier,Policy and Regulator Frameworks,Non-VF,0.0,0.0,0.0,42150448.0,17,10
506,RBEC,Beneficiary Tier,Other,Non-VF,0.0,0.0,0.0,110764532.0,4,4
507,RBEC,Beneficiary Category,Energy Efficiency Services,Non-VF,0.0,0.0,0.0,131793198.0,14,6
508,RBEC,Beneficiary Category,Education Services,Non-VF,6966.0,0.0,6966.0,90103519.57,6,3
509,RBEC,Beneficiary Category,Electricity Access,Non-VF,8716519.0,8716519.0,0.0,125619526.0,7,5
510,RBEC,Beneficiary Category,Energy (MW added),Non-VF,1670418.75,1670418.75,0.0,137740501.812,12,8
511,RBEC,Beneficiary Category,Policy or Regulatory Framework,Non-VF,0.0,0.0,0.0,42150448.0,17,10
512,RBEC,Beneficiary Category,Transportation and E-mobility Services,Non-VF,10700.0,0.0,10700.0,4481809.0,3,3
513,RBEC,Beneficiary Category,Campaign Participant,Non-VF,0.0,0.0,0.0,49253416.0,7,4
514,RBEC,Beneficiary Category,Other Energy Services,Non-VF,231300.0,0.0,231300.0,36380377.0,7,4
515,RBEC,Beneficiary Category,Capacity Building Training,Non-VF,0.0,0.0,0.0,51057953.0,11,8
516,RBEC,Beneficiary Category,Medium Enterprises,Non-VF,0.0,0.0,0.0,60650232.0,7,5
517,RBEC,Beneficiary Category,nan,Non-VF,0.0,0.0,0.0,56707480.0,7,4
518,RBEC,Beneficiary Category,Other,Non-VF,0.0,0.0,0.0,110764532.0,4,4
519,RBEC,Beneficiary Category,Health services,Non-VF,0.0,0.0,0.0,64600000.0,1,1
520,RBEC,Beneficiary Category,Energy Infrastructure Services,Non-VF,1100000.0,0.0,1100000.0,8525568.812,3,2
521,RBEC,Beneficiary Category,Small Enterprises,Non-VF,0.0,0.0,0.0,9316580.0,3,3
522,RBEC,Beneficiary Category,Entrepreneurship Training,Non-VF,0.0,0.0,0.0,3066715.0,2,2
523,RBEC,Beneficiary Category,Financing support,Non-VF,0.0,0.0,0.0,1220000.0,1,1
524,RBEC,Beneficiary Category,Market Intervention,Non-VF,0.0,0.0,0.0,44400000.0,1,1
525,RBEC,Beneficiary Category,Water Services,Non-VF,2857.06,0.0,2857.06,2450000.0,2,1
526,RBEC,Beneficiary Category,Clean Cooking,Non-VF,171.0,171.0,0.0,926659.0,1,1
527,RBEC,Beneficiary Category,GHG Emissions Reduction,Non-VF,0.0,0.0,0.0,798748.0,1,1
528,RBAP,All,All,Total,14438076.231234811,8766368.004999999,5671708.226234811,484690468.1,92,27
529,RBAP,Economy,Lower middle income,Total,8069318.731234811,4707320.505,3361998.2262348114,250097666.10000002,70,20
530,RBAP,Economy,Upper middle income,Total,6368757.5,4059047.5,2309710.0,234592802.0,22,7
531,RBAP,HDI,High,Total,4788975.0,2232363.0,2556612.0,147335301.10000002,39,8
532,RBAP,HDI,Medium,Total,5276194.231234811,3161098.005,2115096.2262348114,179325269.0,41,15
533,RBAP,HDI,Low,Total,4372907.0,3372907.0,1000000.0,152101811.0,9,2
534,RBAP,HDI,Very High,Total,0.0,0.0,0.0,5928087.0,3,2
535,RBAP,Beneficiary Tier,Access to Energy,Total,8766368.004999999,8766368.004999999,0.0,260350942.0,41,21
536,RBAP,Beneficiary Tier,Productive Use of Energy,Total,5671708.226234811,0.0,5671708.226234811,257530120.0,40,19
537,RBAP,Beneficiary Tier,Market Development,Total,0.0,0.0,0.0,75533742.0,19,13
538,RBAP,Beneficiary Tier,Capacity Building,Total,0.0,0.0,0.0,46274698.0,9,7
539,RBAP,Beneficiary Tier,Policy and Regulator Frameworks,Total,0.0,0.0,0.0,111230640.10000001,29,17
540,RBAP,Beneficiary Tier,Other,Total,0.0,0.0,0.0,55180259.0,11,7
541,RBAP,Beneficiary Category,Energy (MW added),Total,2845409.525,2845409.525,0.0,187240692.0,27,16
542,RBAP,Beneficiary Category,Electricity Access,Total,5664436.539999999,5664436.539999999,0.0,143070078.0,23,17
543,RBAP,Beneficiary Category,Capacity Building Training,Total,0.0,0.0,0.0,131162146.0,30,16
544,RBAP,Beneficiary Category,Policy or Regulatory Framework,Total,0.0,0.0,0.0,111230640.10000001,29,17
545,RBAP,Beneficiary Category,Transportation and E-mobility Services,Total,1425607.6402348112,0.0,1425607.6402348112,52501046.0,11,9
546,RBAP,Beneficiary Category,Other,Total,0.0,0.0,0.0,55180259.0,11,7
547,RBAP,Beneficiary Category,Other Energy Services,Total,329732.0,0.0,329732.0,25493912.0,5,5
548,RBAP,Beneficiary Category,GHG Emissions Reduction,Total,0.0,0.0,0.0,73282934.0,20,12
549,RBAP,Beneficiary Category,Water Services,Total,219760.3,0.0,219760.3,76506909.0,8,7
550,RBAP,Beneficiary Category,nan,Total,0.0,0.0,0.0,99334701.36,22,11
551,RBAP,Beneficiary Category,Clean Cooking,Total,256521.94,256521.94,0.0,36464226.0,9,8
552,RBAP,Beneficiary Category,Health Services,Total,1834998.0,0.0,1834998.0,72090296.0,6,5
553,RBAP,Beneficiary Category,Education Services,Total,12984.0,0.0,12984.0,9679440.0,4,4
554,RBAP,Beneficiary Category,Medium Enterprises,Total,0.0,0.0,0.0,49197407.0,11,7
555,RBAP,Beneficiary Category,Agriculture and Food System,Total,402334.286,0.0,402334.286,40535108.0,16,9
556,RBAP,Beneficiary Category,Entrepreneurship Training,Total,0.0,0.0,0.0,10405040.0,5,5
557,RBAP,Beneficiary Category,Campaign Participant,Total,0.0,0.0,0.0,37217858.0,5,4
